Joint_1,Joint_2,Joint_3,Joint_4,Joint_5,Joint_6,Torque_1,Torque_2,Torque_3,Torque_4,Torque_5,Torque_6
-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,2109935332939090.2,-0.6694778308420617,-0.060667942454521784,25.17812880827791,0.15326653842272558,-0.04178059719323783
-30.0,-30.0,-30.0,-30.0,-30.0,0.0,2109935332939090.0,-0.6694778308420617,-0.060667942454521756,25.17812880827791,-0.0824853181498979,0.16158296406555908
-30.0,-30.0,-30.0,-30.0,-30.0,30.0,2109935332939090.0,-0.669477830842062,-0.06066794245452174,25.178128808277904,0.0030302322987088622,0.09162941016172964
-30.0,-30.0,-30.0,-30.0,0.0,-30.0,2109935332939090.0,-0.6694778308420617,-0.06066794245452174,25.178128808277926,0.0064592646049371,-0.20344348689485817
-30.0,-30.0,-30.0,-30.0,0.0,0.0,2109935332939090.0,-0.6694778308420617,-0.06066794245452177,25.178128808277926,-0.13122847916738126,-0.05019374657776246
-30.0,-30.0,-30.0,-30.0,0.0,30.0,2109935332939089.8,-0.6694778308420617,-0.06066794245452181,25.178128808277926,-0.3321915798960006,0.18795857052503848
-30.0,-30.0,-30.0,-30.0,30.0,-30.0,2109935332939090.0,-0.6694778308420616,-0.060667942454521714,25.178128808277926,-0.15127383656168733,-0.02098230845419738
-30.0,-30.0,-30.0,-30.0,30.0,0.0,2109935332939090.0,-0.6694778308420615,-0.06066794245452177,25.178128808277926,0.04200095179367552,-0.1770678804353787
-30.0,-30.0,-30.0,-30.0,30.0,30.0,2109935332939090.0,-0.6694778308420616,-0.060667942454521784,25.178128808277904,-0.10551229797751954,-0.03364364611715977
-30.0,-30.0,-30.0,0.0,-30.0,-30.0,2109935332939071.5,-0.14018791370304745,-0.060667942454521756,-0.036382896698817536,0.15326653842272556,-0.04178059719323782
-30.0,-30.0,-30.0,0.0,-30.0,0.0,2109935332939071.2,-0.14018791370304745,-0.06066794245452177,-0.036382896698817536,-0.08248531814989787,0.16158296406555905
-30.0,-30.0,-30.0,0.0,-30.0,30.0,2109935332939071.2,-0.14018791370304745,-0.060667942454521784,-0.03638289669881577,0.0030302322987088605,0.09162941016172964
-30.0,-30.0,-30.0,0.0,0.0,-30.0,2109935332939071.5,-0.14018791370304745,-0.060667942454521756,-0.036382896698817536,0.006459264604937096,-0.2034434868948582
-30.0,-30.0,-30.0,0.0,0.0,0.0,2109935332939071.2,-0.1401879137030474,-0.060667942454521756,-4.306199788413759,-3.1077667363338852,5.51987268763389
-30.0,-30.0,-30.0,0.0,0.0,30.0,2109935332939071.0,-0.14018791370304745,-0.060667942454521756,-0.036382896698817536,-0.3321915798960006,0.18795857052503856
-30.0,-30.0,-30.0,0.0,30.0,-30.0,2109935332939071.2,-0.14018791370304742,-0.060667942454521784,-0.036382896698817536,-0.15127383656168733,-0.020982308454197365
-30.0,-30.0,-30.0,0.0,30.0,0.0,2109935332939071.5,-0.14018791370304745,-0.06066794245452177,-0.036382896698817536,0.04200095179367552,-0.17706788043537872
-30.0,-30.0,-30.0,0.0,30.0,30.0,2109935332939071.2,-0.14018791370304742,-0.060667942454521756,-0.03638289669881577,-0.10551229797751954,-0.03364364611715978
-30.0,-30.0,-30.0,30.0,-30.0,-30.0,2109935332939090.5,-0.14018791370304745,-0.060667942454521784,-29.248283507735472,0.15326653842272556,-0.04178059719323779
-30.0,-30.0,-30.0,30.0,-30.0,0.0,2109935332939090.2,-0.14018791370304748,-0.0606679424545218,-29.248283507735458,-0.08248531814989789,0.16158296406555905
-30.0,-30.0,-30.0,30.0,-30.0,30.0,2109935332939090.2,-0.14018791370304742,-0.06066794245452174,-29.24828350773548,0.0030302322987088622,0.09162941016172964
-30.0,-30.0,-30.0,30.0,0.0,-30.0,2109935332939090.2,-0.14018791370304742,-0.06066794245452177,-32.32990675115123,-2.282038675831361,-0.2034434868948582
-30.0,-30.0,-30.0,30.0,0.0,0.0,2109935332939090.2,-0.14018791370304742,-0.060667942454521756,-35.1495757986673,-10.555321123279164,24.617905268641223
-30.0,-30.0,-30.0,30.0,0.0,30.0,2109935332939090.0,-0.14018791370304745,-0.06066794245452174,-32.32990675115122,-2.6206895203322973,0.18795857052503848
-30.0,-30.0,-30.0,30.0,30.0,-30.0,2109935332939090.2,-0.14018791370304745,-0.0606679424545218,-24.55136148067272,0.4832738889387522,-0.02098230845419738
-30.0,-30.0,-30.0,30.0,30.0,0.0,2109935332939090.2,-0.14018791370304745,-0.060667942454521756,-24.5513614806727,0.6765486772941152,-0.17706788043537872
-30.0,-30.0,-30.0,30.0,30.0,30.0,2109935332939090.2,-0.14018791370304742,-0.06066794245452174,-24.55136148067267,0.52903542752292,-0.03364364611715978
-30.0,-30.0,0.0,-30.0,-30.0,-30.0,2109935332939090.2,-0.5711909187137156,0.027683227748726898,25.178128808277926,0.15326653842272556,-0.04178059719323779
-30.0,-30.0,0.0,-30.0,-30.0,0.0,2109935332939090.0,-0.5711909187137157,0.02768322774872691,25.178128808277926,-0.08248531814989787,0.16158296406555905
-30.0,-30.0,0.0,-30.0,-30.0,30.0,2109935332939090.0,-0.5711909187137157,0.02768322774872692,25.178128808277926,0.0030302322987088622,0.09162941016172965
-30.0,-30.0,0.0,-30.0,0.0,-30.0,2109935332939090.0,-0.5711909187137156,0.027683227748726932,25.17812880827791,0.006459264604937097,-0.20344348689485817
-30.0,-30.0,0.0,-30.0,0.0,0.0,2109935332939089.8,-0.5711909187137156,0.027683227748726905,25.17812880827792,-0.13122847916738123,-0.05019374657776245
-30.0,-30.0,0.0,-30.0,0.0,30.0,2109935332939089.8,-0.5711909187137157,0.02768322774872692,25.17812880827791,-0.3321915798960007,0.18795857052503856
-30.0,-30.0,0.0,-30.0,30.0,-30.0,2109935332939089.8,-0.5711909187137156,0.027683227748726905,25.17812880827792,-0.15127383656168733,-0.020982308454197365
-30.0,-30.0,0.0,-30.0,30.0,0.0,2109935332939090.0,-0.5711909187137157,0.027683227748726905,25.17812880827791,0.042000951793675516,-0.1770678804353787
-30.0,-30.0,0.0,-30.0,30.0,30.0,2109935332939090.0,-0.5711909187137156,0.027683227748726932,25.178128808277904,-0.10551229797751954,-0.03364364611715978
-30.0,-30.0,0.0,0.0,-30.0,-30.0,2109935332939071.5,-0.0419010015747015,0.02768322774872691,-0.03638289669881754,0.15326653842272556,-0.0417805971932378
-30.0,-30.0,0.0,0.0,-30.0,0.0,2109935332939071.2,-0.0419010015747015,0.02768322774872691,-0.036382896698817536,-0.08248531814989789,0.16158296406555905
-30.0,-30.0,0.0,0.0,-30.0,30.0,2109935332939071.2,-0.04190100157470151,0.02768322774872692,-0.036382896698817536,0.0030302322987088622,0.09162941016172965
-30.0,-30.0,0.0,0.0,0.0,-30.0,2109935332939071.2,-0.04190100157470151,0.02768322774872691,-0.03638289669881754,0.006459264604937097,-0.2034434868948582
-30.0,-30.0,0.0,0.0,0.0,0.0,2109935332939071.2,-0.0419010015747015,0.027683227748726905,-4.306199788413759,-3.1077667363338852,5.5198726876338915
-30.0,-30.0,0.0,0.0,0.0,30.0,2109935332939071.0,-0.0419010015747015,0.02768322774872692,-0.036382896698817536,-0.3321915798960006,0.18795857052503856
-30.0,-30.0,0.0,0.0,30.0,-30.0,2109935332939071.0,-0.0419010015747015,0.027683227748726905,-0.03638289669881754,-0.15127383656168733,-0.02098230845419738
